date,content,replyCount,retweetCount,likeCount,media,cleaned,sentiment_number,sentiment_label
2020-11-04 09:04:50+00:00,KANYE 2024 https://t.co/Zm2pKcn12t,43873,44144,443722,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/El98y8cVgAExRSk?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/El98y8cVgAExRSk?format=jpg&name=large'}]",kanye 2024,0.0,Neutral
2020-11-03 20:53:31+00:00,I VOTED 🇺🇸 https://t.co/hlgIJUST4x,9563,8655,232510,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/El7VdQ8UcAA7EH3?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/El7VdQ8UcAA7EH3?format=jpg&name=large'}]",voted,0.0,Neutral
2020-11-03 20:51:55+00:00,KANYE2020 🇺🇸 https://t.co/3kd8vrrHZQ,3943,3372,97731,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/El7VF4JVMAAIHLM?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/El7VF4JVMAAIHLM?format=jpg&name=large'}]",kanye2020,0.0,Neutral
2020-11-03 20:42:45+00:00,The first vote of my life         We are here to serve      We pray for every servant leader in the world  🕊 https://t.co/UWSrKslCt1,7781,3846,81656,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1323727309308751872/pu/img/UYEn1i8cSH-P8EZg.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323727309308751872/pu/vid/720x1280/ImwK-iEBM0oX8lDq.mp4?tag=10', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323727309308751872/pu/vid/320x568/BkvyOTUzG8MwaOYR.mp4?tag=10', 'bitrate': 632000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1323727309308751872/pu/pl/TQ22HOUxYOxm-FHR.m3u8?tag=10', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323727309308751872/pu/vid/360x640/cVLAseSARxqH5yQW.mp4?tag=10', 'bitrate': 832000}], 'duration': 15.013, 'views': 8752921}]",first vote life serve pray every servant leader world,0.25,Positive
2020-11-03 20:39:36+00:00,KEEP BELIEVING KANYE 2020    Thank you Jesus Christ https://t.co/OgFDGOCAOp,3668,2446,46206,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1323726527800909824/pu/img/DPuMq969DBuEMpDJ.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323726527800909824/pu/vid/320x568/Nw9miZ38hMTZEUYy.mp4?tag=10', 'bitrate': 632000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323726527800909824/pu/vid/360x640/Ez2sWQ1M3yi3YpyE.mp4?tag=10', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1323726527800909824/pu/vid/720x1280/YVw_4wPrlbM9vWnP.mp4?tag=10', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1323726527800909824/pu/pl/TJ5OoDuBgkQXjpJK.m3u8?tag=10', 'bitrate': None}], 'duration': 5.9719999999999995, 'views': 5011072}]",keep believing kanye 2020 thank jesus christ,0.0,Neutral
2020-11-03 15:09:18+00:00,Favs https://t.co/0oO13dEviF,2490,2851,51826,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/El6GrMnVgAELb4D?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/El6GrMnVgAELb4D?format=jpg&name=large'}]",favs,0.0,Neutral
2020-11-03 15:01:07+00:00,We will heal. We will cure.,1086,8645,56193,,heal cure,0.0,Neutral
2020-11-03 15:00:09+00:00,"God is so good 😊 Today I am voting for the first time in my life for the President of the United States, and it's for someone I truly trust...me. 🇺🇸 🕊",7715,18771,192792,,god good today voting first time life president united states someone truly trust,0.475,Positive
2020-11-03 14:56:56+00:00,I channel Will Ferrel when I’m at the daddy daughter dances,644,3920,66546,,channel ferrel daddy daughter dances,0.0,Neutral
2020-11-03 14:48:22+00:00,Life is the ultimate gift,1543,25201,126862,,life ultimate gift,0.0,Neutral
